S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82
32.11771,29.20542,22.390203,17.733597,18.725956,31.838419,27.482382,29.095423,26.596983,30.275011,28.384933,25.282415,21.259687,26.301828,27.268991,20.960123,23.92907,25.001348,19.979458,24.68435,26.821135,26.72919,15.829562,25.31666,22.140179,19.984116,31.331097,27.38304,33.923225,18.042746,23.532318,27.056694,21.404543,31.209175,20.233015,31.181902,17.789942,23.569805,22.908855,19.502773,27.453371,30.186087,34.290047,20.124884,22.406141,21.287848,23.314077,27.13746,28.798395,33.308086,27.484646,20.677248,18.476505,18.14378,21.358324,33.592026,35.05929,26.975557,16.685959,17.496895,20.470724,32.036186,35.144302,34.606853,21.529217,22.532064,23.935213,25.028114,25.12829,26.450413,25.956656,19.684368,25.130026,21.945398,27.222948,28.096352,27.309603,24.10998,24.294659,28.149883,24.230742,24.66727,26.793957
29.022676,29.020512,29.023144,29.020384,29.025076,29.015755,29.017847,29.020521,29.01461,29.017082,29.016525,29.018906,29.012112,29.039303,29.040117,29.040165,29.035864,29.034824,29.04183,29.036465,29.03742,29.036457,29.039505,29.038702,29.034437,29.052383,29.03926,29.03872,29.040169,29.046827,29.03935,29.033829,29.037151,29.043797,29.043163,29.04576,29.048458,29.043118,29.037334,29.039246,29.043083,29.032724,29.030615,29.032042,29.033007,29.016975,29.033932,29.030521,29.018898,29.018587,29.015497,29.022598,29.017391,29.018768,29.014486,29.015055,29.014788,29.011236,29.013315,29.011856,29.012697,29.017351,29.038328,29.041517,29.042929,29.03951,29.040377,29.043627,29.040386,29.041414,29.04016,29.040775,29.03231,29.027819,29.031593,29.063747,29.144566,29.145645,29.14008,29.130453,29.115595,29.154358,29.160353
18.013206,18.01492,13.651371,13.534543,14.389438,23.170578,23.203974,23.028503,23.412443,14.4240885,14.416851,16.187172,17.075335,19.100286,18.983456,18.717918,18.831366,17.210209,22.480778,23.251574,23.015505,23.075487,22.36864,22.868368,19.174545,12.669867,18.028759,18.1273,18.107338,17.777592,17.930538,17.900099,14.175404,14.545751,13.644735,13.677745,13.79109,13.826062,20.258404,19.813766,15.438562,15.3923855,15.381861,15.326368,13.495053,18.570719,16.126049,16.227379,16.11987,16.14043,16.130915,15.282084,12.772698,12.981466,12.652697,12.422607,12.440494,12.433195,12.513844,12.515712,14.166441,14.249019,14.503405,14.542016,14.633804,14.537176,16.284142,14.783158,17.217607,17.315126,17.316067,17.25705,17.288513,17.130537,13.928193,14.123065,19.45887,19.464937,19.128065,19.406569,19.42157,17.357843,19.193615
21.968582,21.884848,21.066559,21.918848,21.83352,21.866116,21.964918,21.97471,21.981377,22.546085,21.969954,21.91587,22.016645,22.255049,22.125109,21.879759,22.275608,21.947937,21.873507,21.953716,22.087149,22.108732,21.848902,21.105778,21.881771,21.5789,21.861101,22.012304,22.074451,21.668764,21.871819,21.842487,21.728218,21.828606,22.0329,22.005762,21.717857,21.862358,21.859095,21.77254,21.96744,22.00005,22.035109,21.779947,21.648748,21.807217,21.722168,21.84027,22.060434,22.03214,21.90449,14.8960495,17.27898,17.324242,17.187027,17.210373,17.287376,17.140217,17.156067,17.187107,17.110561,17.254025,17.426832,17.556898,17.49259,18.438152,18.47801,17.552887,22.007607,21.996891,22.008,17.590439,17.430475,21.834507,17.532043,17.951914,18.686573,18.659622,18.627663,18.619493,18.496908,18.869593,18.888706
41.431767,45.781986,28.034477,31.684334,24.126717,38.69576,32.15543,30.581184,55.12716,43.825462,44.025772,32.579056,39.146317,35.43513,47.987877,18.142078,47.5209,31.08785,46.261948,38.207153,36.562206,49.831295,20.688046,43.357216,29.083836,38.251392,40.392555,27.704884,31.698595,37.880333,49.508976,29.50362,42.134476,31.6705,40.24251,37.327328,38.035366,44.490334,35.02887,43.973083,31.490202,39.08602,37.75677,29.97328,41.505547,28.213243,39.761772,27.764536,38.680763,40.665268,40.63761,39.140408,30.354795,30.084394,36.923027,47.365486,42.685238,47.93024,48.785904,52.10068,28.98666,45.829556,42.119003,40.2325,23.290106,33.886326,28.228506,47.79868,52.75137,41.05319,37.432022,19.178402,40.100666,28.804571,43.333538,40.680786,41.76338,39.287792,29.058352,37.019993,35.848507,40.90582,38.628025
32.932625,15.384897,11.066386,16.72762,15.68574,24.469778,25.42405,32.785595,25.132689,14.927409,16.961645,19.96445,21.437773,23.086748,30.061386,20.20023,13.096316,20.69684,13.3478775,23.240501,27.416763,29.546646,16.011007,13.75137,13.075358,12.553648,22.019953,26.62894,34.639286,15.728827,14.262015,15.401993,9.749483,18.496403,31.652708,27.182064,13.816883,12.236465,16.95115,9.42461,18.355555,33.849224,24.567125,12.648943,10.260628,11.671773,12.494527,24.898743,28.398378,34.809925,18.443995,13.993384,12.26188,19.630644,24.310295,31.08164,33.81586,14.553891,15.835149,16.408056,19.461054,28.189838,33.347343,31.783754,16.627926,13.103227,15.388401,14.677501,29.142513,32.749737,32.93973,11.493757,20.977966,11.320877,14.1985655,24.996168,25.526796,26.727938,15.305518,17.14793,15.79705,18.158442,23.668638
55.0522,55.048985,55.03283,55.120293,55.02916,55.016224,55.054626,55.063187,55.054893,55.013863,55.03447,55.037075,55.02471,55.057774,55.046833,55.050316,55.038708,55.038197,55.049732,55.037056,55.066776,55.06291,55.04503,55.055473,55.04859,55.02357,55.04274,55.0714,55.05284,55.053932,55.038445,55.053085,55.047634,55.05154,55.06462,55.0617,55.059174,55.04803,55.05481,55.040146,55.08215,55.085667,55.082085,55.064068,54.74289,55.041153,55.0204,55.042217,55.058857,55.06201,55.057987,55.02886,55.01285,55.01416,55.032467,55.04999,55.052856,55.02085,55.0402,55.027996,55.046318,55.041946,55.055595,55.057976,55.071003,55.033146,55.051083,55.04702,55.049553,55.059406,55.06056,55.056637,55.043747,55.044018,55.038876,55.05926,55.09288,55.090115,55.066544,55.083523,55.05132,55.047142,55.12516
18.504213,18.367476,18.54168,18.424652,18.32934,18.231503,18.268398,18.323967,18.259958,18.24182,18.236708,5.412491,13.587526,14.430849,14.420608,14.605732,14.448752,14.368524,14.579033,14.399953,14.451198,14.440608,14.709341,14.357449,14.330138,14.53022,14.316538,14.289643,14.297547,14.485712,14.213662,14.233404,14.469512,14.474005,14.530947,14.571127,19.482134,19.62145,17.606056,17.59031,17.37566,17.202215,17.19576,7.561042,17.97297,21.262568,20.754017,21.080685,21.406492,21.320639,21.091404,20.789038,20.99819,20.79728,21.088451,21.25141,21.366913,20.91005,20.862144,21.022001,20.989614,21.110813,21.390535,21.16197,21.193563,21.05423,21.227993,21.058601,21.249199,21.286804,21.265446,21.192627,21.161268,21.094944,21.063644,20.679749,20.401014,20.37878,20.038094,35.65144,36.181335,31.850834,33.275528
27.23491,22.254423,16.049623,16.499367,21.696053,22.441692,22.267012,22.226799,22.291237,18.223541,18.986454,19.438976,21.847254,22.549446,31.074448,21.549805,15.244523,14.374342,12.414241,19.852064,19.940271,26.45836,18.074003,15.246906,18.472132,19.275448,26.230667,28.11865,28.132324,19.850374,14.699416,16.797161,16.962706,19.636192,20.215565,21.54433,19.629314,18.055943,16.113466,15.421479,23.454634,29.368433,29.519894,16.658628,14.140443,19.410751,18.364511,24.661343,25.927048,22.175108,22.039387,15.731752,18.029827,21.474981,21.330635,23.145235,34.499,22.984253,20.639034,16.528608,19.310835,23.180586,23.351025,24.500458,22.582333,19.530134,15.320073,19.250603,23.292048,28.038044,27.986124,17.430468,14.138754,18.47579,19.091171,20.341072,21.013676,21.040983,19.348434,17.984764,18.070549,21.217075,22.15745
24.894627,20.949957,19.480612,17.277554,17.025188,18.999468,25.960733,24.896646,21.676624,18.24904,19.99299,19.221922,24.001333,24.972464,32.62425,21.872555,17.736834,18.119478,19.184114,21.510073,25.784567,27.11717,21.151691,14.582769,16.482363,18.339828,21.23725,26.295635,25.278708,21.122787,17.722868,17.640886,13.856036,21.22927,18.66238,23.736805,19.308903,16.23563,16.433098,13.833178,20.398897,21.772003,21.191193,19.564966,17.01711,13.466805,18.562523,20.51377,25.443842,23.460478,20.471733,18.428844,17.358032,17.861769,23.547785,24.087051,24.086168,22.522076,18.237026,20.259674,19.06963,24.714777,26.778639,23.88898,21.756184,17.559275,14.327471,18.119678,21.866684,22.589233,21.27234,18.185497,17.017992,17.197666,17.874226,21.367945,22.804523,23.180523,20.537336,18.271297,17.903875,18.73186,20.989925
